symbol,company,sector,industry,date,close,change_pct,volume,value_traded,final_score,final_decision,buy_probability,sell_probability,confidence_v3,smart_money_score,accumulation_score,institutional_signal,trade_validation_score,trade_validation_status,trade_action,entry_timing_score,entry_timing_action,suggested_entry_price,risk_management_score,risk_permission,risk_status,risk_action,risk_reward_t1,entry_low,entry_high,stop_loss,target_1,target_2,portfolio_selected,portfolio_rank,portfolio_investment,portfolio_quantity,portfolio_position_status,lifecycle_status,trade_id,actual_entry_price,actual_quantity,open_quantity,remaining_quantity,average_cost,current_stop_loss,highest_price_since_entry,lowest_price_since_entry,realized_profit_loss,unrealized_profit_loss,unrealized_profit_loss_pct,holding_days_numeric,partial_profit_booked,exit_action,exit_reason,exit_risk_level,exit_suggested_action,exit_current_price,exit_entry_price,exit_profit_loss_pct,exit_original_stop_loss,exit_suggested_stop_loss,exit_trailing_stop,exit_profit_lock_pct,exit_target_status,exit_confidence,exit_engine_version,decision_reason
CNERGY,CNERGYICO PK,REFINERY,OIL REFINERY,13JUL2026,10.05,3.715170278637783,158523340,1593159567.0,31.72,AVOID,48.8,51.2,44.33,93,97,STRONG INSTITUTIONAL BUYING,80,BUY ON PULLBACK,WAIT / BUY DIP,64,NO ENTRY,9.9,6,NO TRADE,CHASE RISK REJECTED,AVOID,1.17,9.9,10.15,9.55,10.85,11.46,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong smart money | Strong accumulation | Strong trend | Sector supportive | Warnings: Entry timing rejected | AI final decision restrictive | Institutional decision restrictive | Entry engine restrictive | Risk engine says no trade | Chase risk | Weak risk/reward | Weak market | RSI overheated
AHL,ARIF HABIB LTD.,INVESTMENT,UNKNOWN,13JUL2026,120.86,0.6244276080259762,227829,27535412.94,26.7,AVOID,42.82,57.18,38.63,95,97,STRONG INSTITUTIONAL BUYING,59,WEAK SETUP,WAIT,54,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.17,119.05,122.07,114.82,130.53,137.78,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong smart money | Strong accumulation | Strong trend | Warnings: Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market | Weak sector
JSCL,JAH.SIDD. CO.,INVESTMENT,UNKNOWN,13JUL2026,28.51,1.4951940192239292,2986707,85151016.57000001,23.11,AVOID,40.62,59.38,35.72,89,97,STRONG INSTITUTIONAL BUYING,55,WEAK SETUP,WAIT,40,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.16,28.08,28.8,27.08,30.79,32.5,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong smart money | Strong accumulation | Strong trend | Warnings: Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market | Weak sector
FEM,EQUITY MODARABA,MODARABA,MODARABA,13JUL2026,12.86,5.843621399176947,886463,11399914.18,22.61,AVOID,40.49,59.51,35.44,83,85,STRONG INSTITUTIONAL BUYING,54,WEAK SETUP,WAIT,45,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.17,12.67,12.99,12.22,13.89,14.66,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong accumulation | Strong trend | Warnings: Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market
WASL,WASL MOBILITY MOD,MODARABA,MOBILITY MODARABA,13JUL2026,5.93,5.5160142348754375,3186032,18893169.759999998,21.86,AVOID,39.83,60.17,34.95,77,85,STRONG INSTITUTIONAL BUYING,56,WEAK SETUP,WAIT,46,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.14,5.84,5.99,5.63,6.4,6.76,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong accumulation | Strong trend | Warnings: Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market
NRL,NATIONAL REFINERY,REFINERY,OIL REFINERY,13JUL2026,405.79,2.0521590423257865,4620739,1875049678.8100002,20.18,AVOID,39.36,60.64,34.31,75,73,STRONG INSTITUTIONAL BUYING,55,WEAK SETUP,WAIT,42,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.17,399.7,409.85,385.5,438.25,462.6,False,0,0.0,0,,OPEN,NRL-20260712-001,401.61,15,15,15,401.61,377.75,415.44,385.51,0.0,62.7,1.04,1,False,EXIT TODAY,Risk engine no longer permits trade,HIGH,EXIT TODAY,405.79,401.61,1.04,385.5,388.77,388.77,1.04,TARGETS PENDING,63.06,exit_intelligence_engine_v1_1_position_state_aware,Strong trend | Sector supportive | Warnings: Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market
LOTCHEM,LOTTE CHEMICAL,CHEMICAL,UNKNOWN,13JUL2026,31.63,0.5403687221868981,42778136,1353072441.68,20.18,AVOID,39.66,60.34,33.93,80,79,STRONG INSTITUTIONAL BUYING,53,WEAK SETUP,WAIT,35,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.16,31.16,31.95,30.05,34.16,36.06,False,0,0.0,0,,OPEN,LOTCHEM-20260713-001,31.87,440,440,440,31.87,29.89,32.91,30.7,0.0,-105.6,-0.75,0,False,EXIT TODAY,Risk engine no longer permits trade,HIGH,EXIT TODAY,31.63,31.87,-0.75,30.05,30.05,30.05,0.0,TARGETS PENDING,62.99,exit_intelligence_engine_v1_1_position_state_aware,Strong trend | Warnings: Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market
EPCL,ENGRO POLYMER,CHEMICAL,UNKNOWN,13JUL2026,36.06,1.8356396498164524,6155505,221967510.3,19.27,AVOID,39.12,60.88,33.49,75,73,STRONG INSTITUTIONAL BUYING,51,WEAK SETUP,WAIT,39,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.17,35.52,36.42,34.26,38.94,41.11,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong trend | Warnings: Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market
PRL,PAK REFINERY,REFINERY,OIL REFINERY,13JUL2026,42.73,1.5688138816258534,27110996,1158452859.08,19.04,AVOID,39.38,60.62,34.99,88,91,STRONG INSTITUTIONAL BUYING,43,REJECTED,AVOID,15,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.16,42.09,43.16,40.59,46.15,48.71,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong smart money | Strong accumulation | Strong trend | Sector supportive | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market | RSI overheated
BGL,BAL.GLASS,GLASS & CERAMICS,GLASS MANUFACTURING,13JUL2026,12.87,9.906063193851395,17077414,219786318.17999998,18.67,AVOID,40.51,59.49,33.64,85,95,STRONG INSTITUTIONAL BUYING,56,WEAK SETUP,WAIT,32,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.17,12.68,13.0,12.23,13.9,14.67,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong smart money | Strong accumulation | Strong trend | Warnings: Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market | Near upper cap / extended
SAIF,SAIF TEXTILE,TEXTILE,TEXTILE MILLS,13JUL2026,54.38,3.8777459407831922,985521,53592631.980000004,18.47,AVOID,39.94,60.06,34.55,91,100,STRONG INSTITUTIONAL BUYING,41,REJECTED,AVOID,14,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.17,53.56,54.92,51.66,58.73,61.99,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong smart money | Strong accumulation | Strong trend | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market | Weak sector | High volatility
SNBL,SONERI BANK LTD,BANKS,UNKNOWN,13JUL2026,25.57,1.3877874702617028,9750536,249321205.52,15.33,AVOID,37.71,62.29,32.77,77,85,STRONG INSTITUTIONAL BUYING,43,REJECTED,AVOID,13,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.16,25.19,25.83,24.29,27.62,29.15,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong accumulation | Strong trend | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market | Weak sector
DYNO,DYNEA PAKISTAN,CHEMICAL,INDUSTRIAL CHEMICALS,13JUL2026,346.46,0.10401618029470003,66664,23096409.439999998,13.47,AVOID,34.85,65.15,29.82,70,68,INSTITUTIONAL BUYING,23,REJECTED,AVOID,5,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.17,341.26,349.92,329.14,374.18,394.96,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Institutional accumulation | Strong trend | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market
BLUEX,BLUE-EX LIMITED,TRANSPORT,UNKNOWN,13JUL2026,8.6,0.9389671361502356,43873998,377316382.8,12.6,AVOID,36.85,63.15,30.73,76,87,STRONG INSTITUTIONAL BUYING,36,REJECTED,AVOID,7,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.15,8.47,8.69,8.17,9.29,9.8,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong accumulation | Strong trend | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market | Weak sector | High volatility
PSYL,PAK SYNTHETICS,CHEMICAL,SYNTHETIC CHEMICALS,13JUL2026,149.15,9.669117647058828,52858,7883770.7,12.09,AVOID,36.55,63.45,29.74,91,100,STRONG INSTITUTIONAL BUYING,36,REJECTED,AVOID,0,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.17,146.91,150.64,141.69,161.08,170.03,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong smart money | Strong accumulation | Strong trend | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market | Near upper cap / extended
FPJM,PUNJAB MOD,MODARABA,MODARABA,13JUL2026,11.26,9.960937499999996,2593140,29198756.4,11.7,AVOID,36.25,63.75,28.8,96,100,STRONG INSTITUTIONAL BUYING,22,REJECTED,AVOID,0,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.18,11.09,11.37,10.7,12.16,12.84,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong smart money | Strong accumulation | Strong trend | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market | Near upper cap / extended
TELE,TELECARD LIMITED,TELECOM,TELECOM SERVICES,13JUL2026,9.31,1.5267175572519145,11855229,110372181.99000001,9.61,AVOID,33.98,66.02,27.87,59,62,NEUTRAL,25,REJECTED,AVOID,5,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.16,9.17,9.4,8.84,10.05,10.61,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong trend | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market
UCAPM,UNICAP MODARABA,MODARABA,MODARABA,13JUL2026,6.15,4.23728813559322,2531979,15571670.850000001,8.65,AVOID,33.52,66.48,26.85,70,73,STRONG INSTITUTIONAL BUYING,26,REJECTED,AVOID,0,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.16,6.06,6.21,5.84,6.64,7.01,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong trend | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market
SARC,SARDAR CHEMICAL,CHEMICAL,INDUSTRIAL CHEMICALS,13JUL2026,102.11,2.912719209836727,43819,4474358.09,8.51,AVOID,31.97,68.03,25.3,72,77,STRONG INSTITUTIONAL BUYING,9,REJECTED,AVOID,0,NO ENTRY,0.0,0,NO TRADE,REJECTED,AVOID,1.17,100.58,103.13,97.0,110.28,116.41,False,0,0.0,0,,NO POSITION,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,NO ACTION,No actual open position,NORMAL,NO ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,0.0,exit_intelligence_engine_v1_1_position_state_aware,Strong trend | Warnings: Trade validation rejected | Validation status rejected | Entry timing rejected | Risk engine rejected | AI final decision restrictive | Institutional decision restrictive | Weak trade validation | Entry engine restrictive | Risk engine says no trade | Weak risk/reward | Weak market
